"region","år","arbetsställets sektortillhörighet","ålder",Förvärvsarbetande 16+ år med bostad i regionen (nattbefolkning) (RAMS)
"0114 Upplands Väsby","2013","kommunalt ägda företag och organisationer","55-59 år",49
"0114 Upplands Väsby","2013","kommunalt ägda företag och organisationer","60-64 år",41
"0114 Upplands Väsby","2013","kommunalt ägda företag och organisationer","65+ år",13
"0114 Upplands Väsby","2014","primärkommunal förvaltning","55-59 år",254
"0114 Upplands Väsby","2014","primärkommunal förvaltning","60-64 år",242
"0114 Upplands Väsby","2014","primärkommunal förvaltning","65+ år",83
"0114 Upplands Väsby","2014","kommunalt ägda företag och organisationer","55-59 år",54
"0114 Upplands Väsby","2014","kommunalt ägda företag och organisationer","60-64 år",50
"0114 Upplands Väsby","2014","kommunalt ägda företag och organisationer","65+ år",20
"0114 Upplands Väsby","2015","primärkommunal förvaltning","55-59 år",266
"0114 Upplands Väsby","2015","primärkommunal förvaltning","60-64 år",240
"0114 Upplands Väsby","2015","primärkommunal förvaltning","65+ år",95
"0114 Upplands Väsby","2015","kommunalt ägda företag och organisationer","55-59 år",52
"0114 Upplands Väsby","2015","kommunalt ägda företag och organisationer","60-64 år",48
"0114 Upplands Väsby","2015","kommunalt ägda företag och organisationer","65+ år",23
"0114 Upplands Väsby","2016","primärkommunal förvaltning","55-59 år",280
"0114 Upplands Väsby","2016","primärkommunal förvaltning","60-64 år",257
"0114 Upplands Väsby","2016","primärkommunal förvaltning","65+ år",106
"0114 Upplands Väsby","2016","kommunalt ägda företag och organisationer","55-59 år",51
"0114 Upplands Väsby","2016","kommunalt ägda företag och organisationer","60-64 år",54
"0114 Upplands Väsby","2016","kommunalt ägda företag och organisationer","65+ år",17
"0114 Upplands Väsby","2017","primärkommunal förvaltning","55-59 år",272
"0114 Upplands Väsby","2017","primärkommunal förvaltning","60-64 år",246
"0114 Upplands Väsby","2017","primärkommunal förvaltning","65+ år",116
"0114 Upplands Väsby","2017","kommunalt ägda företag och organisationer","55-59 år",57
"0114 Upplands Väsby","2017","kommunalt ägda företag och organisationer","60-64 år",55
"0114 Upplands Väsby","2017","kommunalt ägda företag och organisationer","65+ år",16
"0115 Vallentuna","2008","primärkommunal förvaltning","55-59 år",228
"0115 Vallentuna","2008","primärkommunal förvaltning","60-64 år",207
"0115 Vallentuna","2008","primärkommunal förvaltning","65+ år",64
"0115 Vallentuna","2008","kommunalt ägda företag och organisationer","55-59 år",37
"0115 Vallentuna","2008","kommunalt ägda företag och organisationer","60-64 år",31
"0115 Vallentuna","2008","kommunalt ägda företag och organisationer","65+ år",10
"0115 Vallentuna","2009","primärkommunal förvaltning","55-59 år",216
"0115 Vallentuna","2009","primärkommunal förvaltning","60-64 år",202
"0115 Vallentuna","2009","primärkommunal förvaltning","65+ år",76
"0115 Vallentuna","2009","kommunalt ägda företag och organisationer","55-59 år",33
"0115 Vallentuna","2009","kommunalt ägda företag och organisationer","60-64 år",38
"0115 Vallentuna","2009","kommunalt ägda företag och organisationer","65+ år",7
"0115 Vallentuna","2010","primärkommunal förvaltning","55-59 år",218
"0115 Vallentuna","2010","primärkommunal förvaltning","60-64 år",222
"0115 Vallentuna","2010","primärkommunal förvaltning","65+ år",74
"0115 Vallentuna","2010","kommunalt ägda företag och organisationer","55-59 år",41
"0115 Vallentuna","2010","kommunalt ägda företag och organisationer","60-64 år",32
"0115 Vallentuna","2010","kommunalt ägda företag och organisationer","65+ år",5
"0115 Vallentuna","2011","primärkommunal förvaltning","55-59 år",232
"0115 Vallentuna","2011","primärkommunal förvaltning","60-64 år",200
"0115 Vallentuna","2011","primärkommunal förvaltning","65+ år",62
"0115 Vallentuna","2011","kommunalt ägda företag och organisationer","55-59 år",46
"0115 Vallentuna","2011","kommunalt ägda företag och organisationer","60-64 år",34
"0115 Vallentuna","2011","kommunalt ägda företag och organisationer","65+ år",6
"0115 Vallentuna","2012","primärkommunal förvaltning","55-59 år",236
"0115 Vallentuna","2012","primärkommunal förvaltning","60-64 år",196
"0115 Vallentuna","2012","primärkommunal förvaltning","65+ år",89
"0115 Vallentuna","2012","kommunalt ägda företag och organisationer","55-59 år",46
"0115 Vallentuna","2012","kommunalt ägda företag och organisationer","60-64 år",37
"0115 Vallentuna","2012","kommunalt ägda företag och organisationer","65+ år",8
"0115 Vallentuna","2013","primärkommunal förvaltning","55-59 år",239
"0115 Vallentuna","2013","primärkommunal förvaltning","60-64 år",198
"0115 Vallentuna","2013","primärkommunal förvaltning","65+ år",93
"0115 Vallentuna","2013","kommunalt ägda företag och organisationer","55-59 år",45
"0115 Vallentuna","2013","kommunalt ägda företag och organisationer","60-64 år",35
"0115 Vallentuna","2013","kommunalt ägda företag och organisationer","65+ år",11
"0115 Vallentuna","2014","primärkommunal förvaltning","55-59 år",234
"0115 Vallentuna","2014","primärkommunal förvaltning","60-64 år",185
"0115 Vallentuna","2014","primärkommunal förvaltning","65+ år",88
"0115 Vallentuna","2014","kommunalt ägda företag och organisationer","55-59 år",46
"0115 Vallentuna","2014","kommunalt ägda företag och organisationer","60-64 år",35
"0115 Vallentuna","2014","kommunalt ägda företag och organisationer","65+ år",12
"0115 Vallentuna","2015","primärkommunal förvaltning","55-59 år",247
"0115 Vallentuna","2015","primärkommunal förvaltning","60-64 år",172
"0115 Vallentuna","2015","primärkommunal förvaltning","65+ år",88
"0115 Vallentuna","2015","kommunalt ägda företag och organisationer","55-59 år",50
"0115 Vallentuna","2015","kommunalt ägda företag och organisationer","60-64 år",42
"0115 Vallentuna","2015","kommunalt ägda företag och organisationer","65+ år",10
"0115 Vallentuna","2016","primärkommunal förvaltning","55-59 år",243
"0115 Vallentuna","2016","primärkommunal förvaltning","60-64 år",174
"0115 Vallentuna","2016","primärkommunal förvaltning","65+ år",78
"0115 Vallentuna","2016","kommunalt ägda företag och organisationer","55-59 år",54
"0115 Vallentuna","2016","kommunalt ägda företag och organisationer","60-64 år",38
"0115 Vallentuna","2016","kommunalt ägda företag och organisationer","65+ år",13
"0115 Vallentuna","2017","primärkommunal förvaltning","55-59 år",243
"0115 Vallentuna","2017","primärkommunal förvaltning","60-64 år",196
"0115 Vallentuna","2017","primärkommunal förvaltning","65+ år",70
"0115 Vallentuna","2017","kommunalt ägda företag och organisationer","55-59 år",64
"0115 Vallentuna","2017","kommunalt ägda företag och organisationer","60-64 år",39
"0115 Vallentuna","2017","kommunalt ägda företag och organisationer","65+ år",15
"0117 Österåker","2008","primärkommunal förvaltning","55-59 år",364
"0117 Österåker","2008","primärkommunal förvaltning","60-64 år",385
"0117 Österåker","2008","primärkommunal förvaltning","65+ år",88
"0117 Österåker","2008","kommunalt ägda företag och organisationer","55-59 år",68
"0117 Österåker","2008","kommunalt ägda företag och organisationer","60-64 år",56
"0117 Österåker","2008","kommunalt ägda företag och organisationer","65+ år",6
"0117 Österåker","2009","primärkommunal förvaltning","55-59 år",329
"0117 Österåker","2009","primärkommunal förvaltning","60-64 år",375
"0117 Österåker","2009","primärkommunal förvaltning","65+ år",120
"0117 Österåker","2009","kommunalt ägda företag och organisationer","55-59 år",66
"0117 Österåker","2009","kommunalt ägda företag och organisationer","60-64 år",53
"0117 Österåker","2009","kommunalt ägda företag och organisationer","65+ år",11
"0117 Österåker","2010","primärkommunal förvaltning","55-59 år",319
"0117 Österåker","2010","primärkommunal förvaltning","60-64 år",354
"0117 Österåker","2010","primärkommunal förvaltning","65+ år",119
"0117 Österåker","2010","kommunalt ägda företag och organisationer","55-59 år",71
"0117 Österåker","2010","kommunalt ägda företag och organisationer","60-64 år",61
"0117 Österåker","2010","kommunalt ägda företag och organisationer","65+ år",13
"0117 Österåker","2011","primärkommunal förvaltning","55-59 år",312
"0117 Österåker","2011","primärkommunal förvaltning","60-64 år",329
"0117 Österåker","2011","primärkommunal förvaltning","65+ år",104
"0117 Österåker","2011","kommunalt ägda företag och organisationer","55-59 år",68
"0117 Österåker","2011","kommunalt ägda företag och organisationer","60-64 år",63
"0117 Österåker","2011","kommunalt ägda företag och organisationer","65+ år",15
"0117 Österåker","2012","primärkommunal förvaltning","55-59 år",305
"0117 Österåker","2012","primärkommunal förvaltning","60-64 år",312
"0117 Österåker","2012","primärkommunal förvaltning","65+ år",120
"0117 Österåker","2012","kommunalt ägda företag och organisationer","55-59 år",75
"0117 Österåker","2012","kommunalt ägda företag och organisationer","60-64 år",65
"0117 Österåker","2012","kommunalt ägda företag och organisationer","65+ år",21
"0117 Österåker","2013","primärkommunal förvaltning","55-59 år",289
"0117 Österåker","2013","primärkommunal förvaltning","60-64 år",282
"0117 Österåker","2013","primärkommunal förvaltning","65+ år",134
"0117 Österåker","2013","kommunalt ägda företag och organisationer","55-59 år",76
"0117 Österåker","2013","kommunalt ägda företag och organisationer","60-64 år",61
"0117 Österåker","2013","kommunalt ägda företag och organisationer","65+ år",24
"0117 Österåker","2014","primärkommunal förvaltning","55-59 år",287
"0117 Österåker","2014","primärkommunal förvaltning","60-64 år",265
"0117 Österåker","2014","primärkommunal förvaltning","65+ år",129
"0117 Österåker","2014","kommunalt ägda företag och organisationer","55-59 år",75
"0117 Österåker","2014","kommunalt ägda företag och organisationer","60-64 år",61
"0117 Österåker","2014","kommunalt ägda företag och organisationer","65+ år",27
"0117 Österåker","2015","primärkommunal förvaltning","55-59 år",276
"0117 Österåker","2015","primärkommunal förvaltning","60-64 år",242
"0117 Österåker","2015","primärkommunal förvaltning","65+ år",144
"0117 Österåker","2015","kommunalt ägda företag och organisationer","55-59 år",72
"0117 Österåker","2015","kommunalt ägda företag och organisationer","60-64 år",61
"0117 Österåker","2015","kommunalt ägda företag och organisationer","65+ år",27
"0117 Österåker","2016","primärkommunal förvaltning","55-59 år",276
"0117 Österåker","2016","primärkommunal förvaltning","60-64 år",259
"0117 Österåker","2016","primärkommunal förvaltning","65+ år",126
"0117 Österåker","2016","kommunalt ägda företag och organisationer","55-59 år",77
"0117 Österåker","2016","kommunalt ägda företag och organisationer","60-64 år",60
"0117 Österåker","2016","kommunalt ägda företag och organisationer","65+ år",23
"0117 Österåker","2017","primärkommunal förvaltning","55-59 år",272
"0117 Österåker","2017","primärkommunal förvaltning","60-64 år",261
"0117 Österåker","2017","primärkommunal förvaltning","65+ år",156
"0117 Österåker","2017","kommunalt ägda företag och organisationer","55-59 år",81
"0117 Österåker","2017","kommunalt ägda företag och organisationer","60-64 år",60
"0117 Österåker","2017","kommunalt ägda företag och organisationer","65+ år",29
"0120 Värmdö","2008","primärkommunal förvaltning","55-59 år",365
"0120 Värmdö","2008","primärkommunal förvaltning","60-64 år",351
"0120 Värmdö","2008","primärkommunal förvaltning","65+ år",66
"0120 Värmdö","2008","kommunalt ägda företag och organisationer","55-59 år",58
"0120 Värmdö","2008","kommunalt ägda företag och organisationer","60-64 år",40
"0120 Värmdö","2008","kommunalt ägda företag och organisationer","65+ år",12
"0120 Värmdö","2009","primärkommunal förvaltning","55-59 år",312
"0120 Värmdö","2009","primärkommunal förvaltning","60-64 år",349
"0120 Värmdö","2009","primärkommunal förvaltning","65+ år",96
"0120 Värmdö","2009","kommunalt ägda företag och organisationer","55-59 år",68
"0120 Värmdö","2009","kommunalt ägda företag och organisationer","60-64 år",50
"0120 Värmdö","2009","kommunalt ägda företag och organisationer","65+ år",13
"0120 Värmdö","2010","primärkommunal förvaltning","55-59 år",283
"0120 Värmdö","2010","primärkommunal förvaltning","60-64 år",330
"0120 Värmdö","2010","primärkommunal förvaltning","65+ år",100
"0120 Värmdö","2010","kommunalt ägda företag och organisationer","55-59 år",51
"0120 Värmdö","2010","kommunalt ägda företag och organisationer","60-64 år",54
"0120 Värmdö","2010","kommunalt ägda företag och organisationer","65+ år",18
"0120 Värmdö","2011","primärkommunal förvaltning","55-59 år",293
"0120 Värmdö","2011","primärkommunal förvaltning","60-64 år",326
"0120 Värmdö","2011","primärkommunal förvaltning","65+ år",83
"0120 Värmdö","2011","kommunalt ägda företag och organisationer","55-59 år",64
"0120 Värmdö","2011","kommunalt ägda företag och organisationer","60-64 år",48
"0120 Värmdö","2011","kommunalt ägda företag och organisationer","65+ år",13
"0120 Värmdö","2012","primärkommunal förvaltning","55-59 år",310
"0120 Värmdö","2012","primärkommunal förvaltning","60-64 år",299
"0120 Värmdö","2012","primärkommunal förvaltning","65+ år",99
"0120 Värmdö","2012","kommunalt ägda företag och organisationer","55-59 år",59
"0120 Värmdö","2012","kommunalt ägda företag och organisationer","60-64 år",46
"0120 Värmdö","2012","kommunalt ägda företag och organisationer","65+ år",17
"0120 Värmdö","2013","primärkommunal förvaltning","55-59 år",322
"0120 Värmdö","2013","primärkommunal förvaltning","60-64 år",279
"0120 Värmdö","2013","primärkommunal förvaltning","65+ år",117
"0120 Värmdö","2013","kommunalt ägda företag och organisationer","55-59 år",51
"0120 Värmdö","2013","kommunalt ägda företag och organisationer","60-64 år",43
"0120 Värmdö","2013","kommunalt ägda företag och organisationer","65+ år",15
"0120 Värmdö","2014","primärkommunal förvaltning","55-59 år",340
"0120 Värmdö","2014","primärkommunal förvaltning","60-64 år",250
"0120 Värmdö","2014","primärkommunal förvaltning","65+ år",131
"0120 Värmdö","2014","kommunalt ägda företag och organisationer","55-59 år",40
"0120 Värmdö","2014","kommunalt ägda företag och organisationer","60-64 år",44
"0120 Värmdö","2014","kommunalt ägda företag och organisationer","65+ år",18
"0120 Värmdö","2015","primärkommunal förvaltning","55-59 år",328
"0120 Värmdö","2015","primärkommunal förvaltning","60-64 år",245
"0120 Värmdö","2015","primärkommunal förvaltning","65+ år",133
"0120 Värmdö","2015","kommunalt ägda företag och organisationer","55-59 år",42
"0120 Värmdö","2015","kommunalt ägda företag och organisationer","60-64 år",41
"0120 Värmdö","2015","kommunalt ägda företag och organisationer","65+ år",13
"0120 Värmdö","2016","primärkommunal förvaltning","55-59 år",348
"0120 Värmdö","2016","primärkommunal förvaltning","60-64 år",249
"0120 Värmdö","2016","primärkommunal förvaltning","65+ år",131
"0120 Värmdö","2016","kommunalt ägda företag och organisationer","55-59 år",43
"0120 Värmdö","2016","kommunalt ägda företag och organisationer","60-64 år",47
"0120 Värmdö","2016","kommunalt ägda företag och organisationer","65+ år",13
"0120 Värmdö","2017","primärkommunal förvaltning","55-59 år",334
"0120 Värmdö","2017","primärkommunal förvaltning","60-64 år",269
"0120 Värmdö","2017","primärkommunal förvaltning","65+ år",125
"0120 Värmdö","2017","kommunalt ägda företag och organisationer","55-59 år",45
"0120 Värmdö","2017","kommunalt ägda företag och organisationer","60-64 år",39
"0120 Värmdö","2017","kommunalt ägda företag och organisationer","65+ år",13
"0123 Järfälla","2008","primärkommunal förvaltning","55-59 år",545
"0123 Järfälla","2008","primärkommunal förvaltning","60-64 år",544
"0123 Järfälla","2008","primärkommunal förvaltning","65+ år",145
"0123 Järfälla","2008","kommunalt ägda företag och organisationer","55-59 år",55
"0123 Järfälla","2008","kommunalt ägda företag och organisationer","60-64 år",50
"0123 Järfälla","2008","kommunalt ägda företag och organisationer","65+ år",10
"0123 Järfälla","2009","primärkommunal förvaltning","55-59 år",529
"0123 Järfälla","2009","primärkommunal förvaltning","60-64 år",542
"0123 Järfälla","2009","primärkommunal förvaltning","65+ år",171
"0123 Järfälla","2009","kommunalt ägda företag och organisationer","55-59 år",53
"0123 Järfälla","2009","kommunalt ägda företag och organisationer","60-64 år",47
"0123 Järfälla","2009","kommunalt ägda företag och organisationer","65+ år",12
"0123 Järfälla","2010","primärkommunal förvaltning","55-59 år",530
"0123 Järfälla","2010","primärkommunal förvaltning","60-64 år",547
"0123 Järfälla","2010","primärkommunal förvaltning","65+ år",141
"0123 Järfälla","2010","kommunalt ägda företag och organisationer","55-59 år",58
"0123 Järfälla","2010","kommunalt ägda företag och organisationer","60-64 år",37
"0123 Järfälla","2010","kommunalt ägda företag och organisationer","65+ år",9
"0123 Järfälla","2011","primärkommunal förvaltning","55-59 år",536
"0123 Järfälla","2011","primärkommunal förvaltning","60-64 år",507
"0123 Järfälla","2011","primärkommunal förvaltning","65+ år",119
"0123 Järfälla","2011","kommunalt ägda företag och organisationer","55-59 år",59
"0123 Järfälla","2011","kommunalt ägda företag och organisationer","60-64 år",43
"0123 Järfälla","2011","kommunalt ägda företag och organisationer","65+ år",7
"0123 Järfälla","2012","primärkommunal förvaltning","55-59 år",529
"0123 Järfälla","2012","primärkommunal förvaltning","60-64 år",509
"0123 Järfälla","2012","primärkommunal förvaltning","65+ år",158
"0123 Järfälla","2012","kommunalt ägda företag och organisationer","55-59 år",58
"0123 Järfälla","2012","kommunalt ägda företag och organisationer","60-64 år",47
"0123 Järfälla","2012","kommunalt ägda företag och organisationer","65+ år",14
"0123 Järfälla","2013","primärkommunal förvaltning","55-59 år",567
"0123 Järfälla","2013","primärkommunal förvaltning","60-64 år",460
"0123 Järfälla","2013","primärkommunal förvaltning","65+ år",184
"0123 Järfälla","2013","kommunalt ägda företag och organisationer","55-59 år",56
"0123 Järfälla","2013","kommunalt ägda företag och organisationer","60-64 år",54
"0123 Järfälla","2013","kommunalt ägda företag och organisationer","65+ år",11
"0123 Järfälla","2014","primärkommunal förvaltning","55-59 år",560
"0123 Järfälla","2014","primärkommunal förvaltning","60-64 år",451
"0123 Järfälla","2014","primärkommunal förvaltning","65+ år",187
"0123 Järfälla","2014","kommunalt ägda företag och organisationer","55-59 år",61
"0123 Järfälla","2014","kommunalt ägda företag och organisationer","60-64 år",43
"0123 Järfälla","2014","kommunalt ägda företag och organisationer","65+ år",13
"0123 Järfälla","2015","primärkommunal förvaltning","55-59 år",549
"0123 Järfälla","2015","primärkommunal förvaltning","60-64 år",474
"0123 Järfälla","2015","primärkommunal förvaltning","65+ år",188
"0123 Järfälla","2015","kommunalt ägda företag och organisationer","55-59 år",63
"0123 Järfälla","2015","kommunalt ägda företag och organisationer","60-64 år",46
"0123 Järfälla","2015","kommunalt ägda företag och organisationer","65+ år",8
"0123 Järfälla","2016","primärkommunal förvaltning","55-59 år",583
"0123 Järfälla","2016","primärkommunal förvaltning","60-64 år",484
"0123 Järfälla","2016","primärkommunal förvaltning","65+ år",183
"0123 Järfälla","2016","kommunalt ägda företag och organisationer","55-59 år",63
"0123 Järfälla","2016","kommunalt ägda företag och organisationer","60-64 år",53
"0123 Järfälla","2016","kommunalt ägda företag och organisationer","65+ år",16
"0123 Järfälla","2017","primärkommunal förvaltning","55-59 år",607
"0123 Järfälla","2017","primärkommunal förvaltning","60-64 år",500
"0123 Järfälla","2017","primärkommunal förvaltning","65+ år",213
"0123 Järfälla","2017","kommunalt ägda företag och organisationer","55-59 år",69
"0123 Järfälla","2017","kommunalt ägda företag och organisationer","60-64 år",43
"0123 Järfälla","2017","kommunalt ägda företag och organisationer","65+ år",23
"0125 Ekerö","2008","primärkommunal förvaltning","55-59 år",195
"0125 Ekerö","2008","primärkommunal förvaltning","60-64 år",221
"0125 Ekerö","2008","primärkommunal förvaltning","65+ år",64
"0125 Ekerö","2008","kommunalt ägda företag och organisationer","55-59 år",21
"0125 Ekerö","2008","kommunalt ägda företag och organisationer","60-64 år",19
"0125 Ekerö","2008","kommunalt ägda företag och organisationer","65+ år",5
"0125 Ekerö","2009","primärkommunal förvaltning","55-59 år",195
"0125 Ekerö","2009","primärkommunal förvaltning","60-64 år",199
"0125 Ekerö","2009","primärkommunal förvaltning","65+ år",74
"0125 Ekerö","2009","kommunalt ägda företag och organisationer","55-59 år",22
"0125 Ekerö","2009","kommunalt ägda företag och organisationer","60-64 år",18
"0125 Ekerö","2009","kommunalt ägda företag och organisationer","65+ år",7
"0125 Ekerö","2010","primärkommunal förvaltning","55-59 år",178
"0125 Ekerö","2010","primärkommunal förvaltning","60-64 år",214
"0125 Ekerö","2010","primärkommunal förvaltning","65+ år",76
"0125 Ekerö","2010","kommunalt ägda företag och organisationer","55-59 år",21
"0125 Ekerö","2010","kommunalt ägda företag och organisationer","60-64 år",15
"0125 Ekerö","2010","kommunalt ägda företag och organisationer","65+ år",10
"0125 Ekerö","2011","primärkommunal förvaltning","55-59 år",182
"0125 Ekerö","2011","primärkommunal förvaltning","60-64 år",182
"0125 Ekerö","2011","primärkommunal förvaltning","65+ år",72
"0125 Ekerö","2011","kommunalt ägda företag och organisationer","55-59 år",17
"0125 Ekerö","2011","kommunalt ägda företag och organisationer","60-64 år",12
"0125 Ekerö","2011","kommunalt ägda företag och organisationer","65+ år",10
"0125 Ekerö","2012","primärkommunal förvaltning","55-59 år",185
"0125 Ekerö","2012","primärkommunal förvaltning","60-64 år",179
"0125 Ekerö","2012","primärkommunal förvaltning","65+ år",78
"0125 Ekerö","2012","kommunalt ägda företag och organisationer","55-59 år",18
"0125 Ekerö","2012","kommunalt ägda företag och organisationer","60-64 år",12
"0125 Ekerö","2012","kommunalt ägda företag och organisationer","65+ år",8
"0125 Ekerö","2013","primärkommunal förvaltning","55-59 år",180
"0125 Ekerö","2013","primärkommunal förvaltning","60-64 år",176
"0125 Ekerö","2013","primärkommunal förvaltning","65+ år",70
"0125 Ekerö","2013","kommunalt ägda företag och organisationer","55-59 år",19
"0125 Ekerö","2013","kommunalt ägda företag och organisationer","60-64 år",12
"0125 Ekerö","2013","kommunalt ägda företag och organisationer","65+ år",6
"0125 Ekerö","2014","primärkommunal förvaltning","55-59 år",180
"0125 Ekerö","2014","primärkommunal förvaltning","60-64 år",156
"0125 Ekerö","2014","primärkommunal förvaltning","65+ år",87
"0125 Ekerö","2014","kommunalt ägda företag och organisationer","55-59 år",30
"0125 Ekerö","2014","kommunalt ägda företag och organisationer","60-64 år",14
"0125 Ekerö","2014","kommunalt ägda företag och organisationer","65+ år",8
"0125 Ekerö","2015","primärkommunal förvaltning","55-59 år",185
"0125 Ekerö","2015","primärkommunal förvaltning","60-64 år",156
"0125 Ekerö","2015","primärkommunal förvaltning","65+ år",84
"0125 Ekerö","2015","kommunalt ägda företag och organisationer","55-59 år",32
"0125 Ekerö","2015","kommunalt ägda företag och organisationer","60-64 år",14
"0125 Ekerö","2015","kommunalt ägda företag och organisationer","65+ år",6
"0125 Ekerö","2016","primärkommunal förvaltning","55-59 år",194
"0125 Ekerö","2016","primärkommunal förvaltning","60-64 år",166
"0125 Ekerö","2016","primärkommunal förvaltning","65+ år",95
"0125 Ekerö","2016","kommunalt ägda företag och organisationer","55-59 år",34
"0125 Ekerö","2016","kommunalt ägda företag och organisationer","60-64 år",9
"0125 Ekerö","2016","kommunalt ägda företag och organisationer","65+ år",8
"0125 Ekerö","2017","primärkommunal förvaltning","55-59 år",208
"0125 Ekerö","2017","primärkommunal förvaltning","60-64 år",160
"0125 Ekerö","2017","primärkommunal förvaltning","65+ år",92
"0125 Ekerö","2017","kommunalt ägda företag och organisationer","55-59 år",36
"0125 Ekerö","2017","kommunalt ägda företag och organisationer","60-64 år",14
"0125 Ekerö","2017","kommunalt ägda företag och organisationer","65+ år",8
"0126 Huddinge","2008","primärkommunal förvaltning","55-59 år",758
"0126 Huddinge","2008","primärkommunal förvaltning","60-64 år",635
"0126 Huddinge","2008","primärkommunal förvaltning","65+ år",150
"0126 Huddinge","2008","kommunalt ägda företag och organisationer","55-59 år",117
"0126 Huddinge","2008","kommunalt ägda företag och organisationer","60-64 år",93
"0126 Huddinge","2008","kommunalt ägda företag och organisationer","65+ år",20
"0126 Huddinge","2009","primärkommunal förvaltning","55-59 år",716
"0126 Huddinge","2009","primärkommunal förvaltning","60-64 år",648
"0126 Huddinge","2009","primärkommunal förvaltning","65+ år",172
"0126 Huddinge","2009","kommunalt ägda företag och organisationer","55-59 år",117
"0126 Huddinge","2009","kommunalt ägda företag och organisationer","60-64 år",92
"0126 Huddinge","2009","kommunalt ägda företag och organisationer","65+ år",28
"0126 Huddinge","2010","primärkommunal förvaltning","55-59 år",697
"0126 Huddinge","2010","primärkommunal förvaltning","60-64 år",667
"0126 Huddinge","2010","primärkommunal förvaltning","65+ år",171
"0126 Huddinge","2010","kommunalt ägda företag och organisationer","55-59 år",116
"0126 Huddinge","2010","kommunalt ägda företag och organisationer","60-64 år",99
"0126 Huddinge","2010","kommunalt ägda företag och organisationer","65+ år",22
"0126 Huddinge","2011","primärkommunal förvaltning","55-59 år",705
"0126 Huddinge","2011","primärkommunal förvaltning","60-64 år",652
"0126 Huddinge","2011","primärkommunal förvaltning","65+ år",176
"0126 Huddinge","2011","kommunalt ägda företag och organisationer","55-59 år",120
"0126 Huddinge","2011","kommunalt ägda företag och organisationer","60-64 år",101
"0126 Huddinge","2011","kommunalt ägda företag och organisationer","65+ år",15
"0126 Huddinge","2012","primärkommunal förvaltning","55-59 år",746
"0126 Huddinge","2012","primärkommunal förvaltning","60-64 år",621
"0126 Huddinge","2012","primärkommunal förvaltning","65+ år",200
"0126 Huddinge","2012","kommunalt ägda företag och organisationer","55-59 år",128
"0126 Huddinge","2012","kommunalt ägda företag och organisationer","60-64 år",94
"0126 Huddinge","2012","kommunalt ägda företag och organisationer","65+ år",23
"0126 Huddinge","2013","primärkommunal förvaltning","55-59 år",765
"0126 Huddinge","2013","primärkommunal förvaltning","60-64 år",590
"0126 Huddinge","2013","primärkommunal förvaltning","65+ år",215
"0126 Huddinge","2013","kommunalt ägda företag och organisationer","55-59 år",128
"0126 Huddinge","2013","kommunalt ägda företag och organisationer","60-64 år",103
